team,season,avg,oba,slg,OPS,wOBA,wRC+,WAR*,ERA,FIP,WHIP,ERA+,FIP+,WAR,wprob,POSADJ,RAAwithADJ,WAAwithADJ
KIA,17,0.302,0.37,0.469,0.84,0.367,112.5,30.66,4.82,4.73,1.51,103.6,106,19.63,0.608391608,11.86,12.63,1.179
µÎ»ê,17,0.294,0.369,0.459,0.828,0.364,116.9,34.95,4.38,4.77,1.45,109.8,101,21.39,0.595744681,12.02,14.24,1.309
·Ôµ¥,17,0.285,0.356,0.433,0.789,0.347,98.1,19.78,4.57,4.91,1.43,110.8,102.8,25.4,0.563380282,12,9.2,0.844
NC,17,0.293,0.365,0.443,0.808,0.356,107,26.54,4.71,5.02,1.41,104.9,99.1,16.17,0.560283688,11.84,12.5,1.165
SK,17,0.271,0.341,0.465,0.806,0.349,100,20.5,5.03,5.13,1.51,100,98.6,17.13,0.524475524,11.74,12.13,1.126
LG,17,0.281,0.348,0.4,0.748,0.333,93.5,16.06,4.32,4.43,1.32,111.9,108.8,19.06,0.489361702,11.9,12.61,1.162
³Ø¼¾,17,0.29,0.357,0.437,0.794,0.353,102.7,23.14,5.06,4.8,1.48,98.8,101.9,18.73,0.485915493,11.72,14.26,1.326
ÇÑÈ­,17,0.287,0.351,0.435,0.786,0.344,97.4,17.69,5.3,5.25,1.51,94.4,95.8,13.26,0.429577465,11.74,12.76,1.185
»ï¼º,17,0.279,0.34,0.428,0.768,0.337,92.5,16.55,5.9,5.5,1.63,86.2,91.9,6.92,0.395683453,11.8,12.38,1.153
kt,17,0.275,0.332,0.41,0.742,0.327,84.7,9.84,5.78,5.32,1.56,87.6,94,12.96,0.347222222,11.64,6.48,0.6
µÎ»ê,16,0.298,0.378,0.473,0.851,0.379,116.8,34.81,4.46,4.96,1.46,114.6,101,24.93,0.65034965,12.5,13.37,1.181
NC,16,0.291,0.375,0.45,0.824,0.369,108.6,28.87,4.49,4.79,1.42,113.3,107.4,25.78,0.588652482,12.23,16.18,1.462
³Ø¼¾,16,0.293,0.368,0.44,0.808,0.364,100.8,23.47,4.96,5.11,1.5,106,101.4,21.57,0.538461538,12.21,17.16,1.544
KIA,16,0.286,0.358,0.452,0.81,0.36,99.6,21.4,4.99,5.03,1.58,103.7,103.8,19.63,0.493055556,12.22,8.86,0.796
LG,16,0.29,0.361,0.417,0.779,0.352,98,20.29,5.1,5.06,1.53,99.8,99,14.32,0.5,12.31,12.51,1.122
SK,16,0.291,0.356,0.454,0.811,0.359,100.1,20.23,4.94,5.23,1.5,105.7,100.3,18.28,0.479166667,12.25,12.89,1.149
ÇÑÈ­,16,0.289,0.362,0.431,0.792,0.355,95.6,17.49,5.76,5.44,1.67,91.1,96.5,13.12,0.471830986,12.3,9.87,0.888
·Ôµ¥,16,0.288,0.37,0.422,0.793,0.359,100.4,21.46,5.63,5.36,1.64,92.8,97.5,11.08,0.455172414,12.31,12.51,1.103
»ï¼º,16,0.293,0.367,0.439,0.806,0.36,100.1,22.21,5.64,5.69,1.58,93.4,91.7,12.55,0.454545455,12.29,12.09,1.082
kt,16,0.276,0.345,0.394,0.738,0.336,83.6,9.51,5.93,5.23,1.69,88.1,99.9,8.82,0.373239437,12.1,7.29,0.661
»ï¼º,15,0.302,0.378,0.469,0.847,0.373,115.3,33.76,4.7,4.72,1.37,105.1,104.2,14.06,0.611111111,11.64,27.65,2.599
NC,15,0.289,0.367,0.455,0.822,0.363,110.9,30.27,4.26,4.73,1.34,112.4,103.1,21.59,0.595744681,14.18,13.44,1.259
µÎ»ê,15,0.29,0.37,0.435,0.804,0.358,112.1,31.61,5.03,4.86,1.53,93.2,96,14.37,0.548611111,11.98,14.79,1.36
³Ø¼¾,15,0.298,0.372,0.486,0.858,0.376,115.4,31.63,4.95,4.81,1.5,100.6,103.2,17.54,0.545454545,11.8,11.12,1.04
SK,15,0.272,0.349,0.41,0.759,0.338,95.4,19,4.73,4.68,1.46,102.1,103.8,21.76,0.485915493,11.83,6.5,0.604
ÇÑÈ­,15,0.271,0.36,0.404,0.764,0.339,89.8,15.69,5.11,5.43,1.56,97.4,90.9,11.91,0.472222222,11.66,8.92,0.841
KIA,15,0.251,0.326,0.392,0.718,0.32,79,5.51,4.8,5.07,1.53,102.8,97.7,20.09,0.465277778,11.65,18.93,1.774
·Ôµ¥,15,0.28,0.356,0.446,0.802,0.354,102.9,21.7,5.11,4.98,1.52,98.7,99,14.19,0.461538462,18.53,8.94,0.832
LG,15,0.269,0.339,0.399,0.738,0.33,92.1,15.28,4.64,4.53,1.44,101.1,103.3,22.22,0.450704225,11.76,8.29,0.778
kt,15,0.273,0.345,0.402,0.748,0.335,88.7,16.15,5.56,5.08,1.65,90.4,96.6,12.82,0.363636364,33.05,29.49,2.758
»ï¼º,14,0.301,0.377,0.473,0.85,0.374,107.9,29.92,4.59,4.65,1.41,115.3,113.6,28.7,0.624,11.17,11.52,1.01
³Ø¼¾,14,0.298,0.382,0.509,0.891,0.388,115.7,33.72,5.31,5.42,1.6,99.2,98.8,21.94,0.619047619,11.07,10.73,0.941
NC,14,0.282,0.353,0.447,0.8,0.354,97.6,23.06,4.39,5.14,1.46,118.5,102.6,25.28,0.551181102,11.11,12.88,1.129
LG,14,0.279,0.361,0.4,0.761,0.343,95.6,19.05,4.6,4.91,1.43,107.6,102.8,23.87,0.492063492,11.17,10.5,0.921
SK,14,0.291,0.362,0.434,0.795,0.353,99.5,23.83,5.57,5.65,1.59,91.6,92.6,15.82,0.484126984,12.47,12.87,1.128
µÎ»ê,14,0.293,0.366,0.431,0.797,0.356,104.6,26.85,5.44,5.11,1.57,90.9,98.3,16.98,0.464566929,10.98,12.05,1.056
·Ôµ¥,14,0.287,0.369,0.436,0.805,0.359,100.1,23.49,5.28,5.33,1.57,103.3,100.2,21.29,0.456,11.06,13.34,1.169
KIA,14,0.288,0.355,0.437,0.792,0.351,95.8,19.71,5.9,5.26,1.65,88.5,100.6,17.24,0.421875,10.93,9.22,0.809
ÇÑÈ­,14,0.283,0.359,0.415,0.774,0.349,89.3,16.08,6.38,6,1.76,85.1,88,11.26,0.388888889,18.23,13.84,1.213
»ï¼º,13,0.283,0.359,0.416,0.776,0.357,110.1,29.91,3.98,4.03,1.33,107.6,106.4,24.31,0.595238095,10.74,25.77,2.585
LG,13,0.282,0.355,0.386,0.741,0.343,100.9,24.48,3.72,4.05,1.36,114.1,104.8,24.89,0.578125,9.64,23.13,2.32
³Ø¼¾,13,0.272,0.358,0.413,0.771,0.355,109.1,28.74,4.12,4.24,1.45,105.7,102.9,22.46,0.571428571,9.16,21.98,2.205
µÎ»ê,13,0.289,0.37,0.42,0.79,0.363,114.5,34.07,4.57,4.36,1.48,93.1,97.5,17.9,0.568,10.51,25.22,2.53
·Ôµ¥,13,0.261,0.345,0.36,0.705,0.33,91.9,19.58,3.93,4.31,1.42,111.2,101.4,22.99,0.532258065,11.36,27.27,2.735
SK,13,0.265,0.346,0.406,0.752,0.344,101.7,25.4,4.16,4.47,1.4,104.2,97,20.74,0.496,15.27,36.64,3.675
NC,13,0.244,0.32,0.365,0.685,0.319,84.3,13.35,3.96,4.39,1.34,108.6,97.9,21.63,0.419354839,9.2,22.08,2.215
KIA,13,0.261,0.349,0.373,0.722,0.337,96.9,22.7,5.12,4.33,1.61,83.8,99.1,13.69,0.408,11.32,27.17,2.725
ÇÑÈ­,13,0.259,0.343,0.348,0.69,0.327,89.8,16.56,5.31,4.69,1.53,81.7,92.6,11.65,0.330708661,9.7,23.28,2.335
»ï¼º,12,0.272,0.353,0.389,0.742,0.344,113.9,33.8,3.39,3.35,1.24,112.5,113.9,28.68,0.610687023,10.84,26.01,2.835
SK,12,0.258,0.333,0.384,0.717,0.33,103.9,24.08,3.82,3.99,1.33,99.6,95.5,21.45,0.546153846,11.01,26.42,2.88
µÎ»ê,12,0.26,0.322,0.352,0.673,0.313,91.9,20.59,3.58,3.81,1.29,106.8,100.3,22.79,0.523076923,10.93,26.24,2.86
·Ôµ¥,12,0.263,0.326,0.364,0.69,0.319,96.5,21.38,3.48,3.79,1.36,110.2,101.1,22.8,0.511811024,10.65,25.55,2.785
KIA,12,0.256,0.343,0.347,0.69,0.321,98.1,23.96,3.9,3.76,1.36,96.9,100.6,19.93,0.488188976,10.99,26.38,2.875
³Ø¼¾,12,0.243,0.325,0.37,0.696,0.322,98.7,23.82,3.83,4.06,1.4,100.1,94.4,19.29,0.469230769,8.81,21.15,2.305
LG,12,0.261,0.332,0.354,0.687,0.321,97.7,23.42,4.02,3.76,1.38,95,101.7,20.38,0.441860465,10.09,24.22,2.64
ÇÑÈ­,12,0.249,0.338,0.351,0.69,0.323,99.1,22.28,4.55,4.06,1.4,85.9,96.3,15.31,0.407692308,9.67,23.21,2.53
»ï¼º,11,0.259,0.343,0.376,0.719,0.334,98.9,25.18,3.35,3.85,1.33,124.6,108.3,29.59,0.612403101,10.82,25.96,2.65
·Ôµ¥,11,0.288,0.358,0.422,0.781,0.359,115.8,33.92,4.2,4.29,1.42,99.9,97.8,19.93,0.5625,11.82,28.37,2.895
SK,11,0.263,0.34,0.385,0.726,0.331,97,20.88,3.59,3.98,1.29,114.2,103.1,25.82,0.546153846,10.33,24.79,2.53
KIA,11,0.269,0.357,0.395,0.752,0.346,107.5,29.09,4.1,3.92,1.35,100.8,105.5,22.78,0.526315789,10.96,26.31,2.685
µÎ»ê,11,0.271,0.354,0.388,0.742,0.344,106.3,28,4.26,4.15,1.44,96.1,98.8,19.64,0.465648855,10.76,25.82,2.635
LG,11,0.266,0.338,0.377,0.716,0.331,97,21.25,4.15,4.09,1.41,98.9,100.2,19.59,0.450381679,10.88,26.11,2.665
ÇÑÈ­,11,0.255,0.338,0.362,0.7,0.323,91.9,18.14,5.11,4.46,1.53,81.8,93.6,13.21,0.450381679,9.92,23.81,2.43
³Ø¼¾,11,0.245,0.323,0.353,0.676,0.313,84.6,13,4.36,4.37,1.51,94.1,94.1,16.99,0.389312977,9.04,21.7,2.215
SK,10,0.274,0.355,0.412,0.768,0.342,100.2,24.01,3.71,4.14,1.35,122.6,109.7,29.64,0.641221374,11.78,28.28,2.7
»ï¼º,10,0.272,0.368,0.406,0.774,0.35,105.1,28.84,3.94,4.06,1.36,117,113.6,28.95,0.603053435,12,28.8,2.75
µÎ»ê,10,0.281,0.365,0.44,0.805,0.363,114,32.99,4.62,4.58,1.38,98.4,99.3,20.44,0.561538462,11.59,27.81,2.655
·Ôµ¥,10,0.288,0.352,0.461,0.813,0.362,113.4,32.54,4.83,4.75,1.43,95.7,97.4,18.38,0.530769231,12.5,30.01,2.865
KIA,10,0.26,0.347,0.383,0.73,0.332,93.4,19.55,4.39,4.16,1.43,104,109.8,23.68,0.443609023,13.53,32.47,3.1
LG,10,0.276,0.349,0.411,0.759,0.342,100.2,24.72,5.23,4.94,1.55,87,92.1,14.38,0.4453125,12.44,29.85,2.85
³Ø¼¾,10,0.262,0.34,0.374,0.714,0.325,88.8,16.83,4.55,4.97,1.5,100,91.5,18.15,0.4,11.32,27.18,2.595
ÇÑÈ­,10,0.244,0.331,0.359,0.69,0.317,83.7,11.27,5.43,5.09,1.57,85.2,90.9,14.3,0.374045802,10.8,25.92,2.475
KIA,9,0.267,0.357,0.427,0.785,0.348,98.8,23.41,3.92,4.13,1.35,120.4,114.3,31.12,0.627906977,12.85,30.83,2.87
SK,9,0.285,0.369,0.453,0.822,0.36,106.9,29.1,3.67,4.22,1.37,129.1,112.3,31.66,0.62992126,13.09,31.42,2.925
µÎ»ê,9,0.28,0.362,0.42,0.781,0.353,101.7,25.9,4.6,4.52,1.46,103.2,105,23.54,0.541984733,11.57,27.77,2.585
·Ôµ¥,9,0.277,0.35,0.423,0.773,0.345,96.5,20.62,4.75,4.84,1.53,100.9,98.8,20.54,0.496240602,12.29,29.49,2.745
»ï¼º,9,0.275,0.364,0.432,0.796,0.354,102.8,26.27,4.98,4.9,1.58,98,99.6,20.3,0.481203008,12.58,30.19,2.81
È÷¾î·ÎÁî,9,0.272,0.356,0.434,0.789,0.35,99.9,24.27,5.41,5.26,1.53,89.2,91.8,14.18,0.454545455,12.15,29.17,2.715
LG,9,0.278,0.36,0.413,0.773,0.344,95.8,21.71,5.42,5.39,1.62,87.9,88.4,12.78,0.418604651,11.41,27.39,2.55
ÇÑÈ­,9,0.269,0.348,0.426,0.774,0.346,97.3,23.48,5.7,5.17,1.62,85.9,94.6,14.66,0.353846154,15.17,36.42,3.39
SK,8,0.282,0.361,0.404,0.765,0.353,112.5,30.25,3.22,3.92,1.3,125.9,103.6,26.7,0.658730159,11.35,27.24,2.8
µÎ»ê,8,0.276,0.354,0.378,0.732,0.343,105.4,27.38,3.89,3.82,1.32,105.3,107.2,22.89,0.555555556,9.75,23.4,2.405
·Ôµ¥,8,0.282,0.357,0.405,0.761,0.352,111.9,29.7,3.64,3.9,1.38,110.5,103.3,21.94,0.547619048,11.07,26.56,2.73
»ï¼º,8,0.258,0.344,0.376,0.72,0.335,100.1,21.64,4.4,4.12,1.42,94.4,100.8,19.63,0.515873016,10.78,25.88,2.66
ÇÑÈ­,8,0.254,0.333,0.395,0.728,0.336,100.7,23.64,4.43,4.4,1.47,95.8,96.5,18.04,0.507936508,9.55,22.91,2.355
KIA,8,0.26,0.336,0.352,0.689,0.321,90.7,16.88,4.08,4.04,1.38,100.3,101.4,21.21,0.452380952,9.47,22.72,2.335
È÷¾î·ÎÁî,8,0.266,0.331,0.368,0.698,0.325,93.5,17.87,4.43,4.28,1.44,95.6,99.1,18.67,0.396825397,10.07,24.18,2.485
LG,8,0.256,0.321,0.353,0.674,0.313,84.8,14.06,4.85,4.46,1.55,84.4,91.9,12.67,0.365079365,10.82,25.98,2.67
SK,7,0.264,0.341,0.403,0.744,0.34,106.9,26.77,3.24,3.85,1.34,117.6,99.1,23.29,0.603305785,10.33,24.79,2.635
µÎ»ê,7,0.263,0.343,0.383,0.726,0.335,103.3,26.33,3.44,3.6,1.3,112.6,107.5,25.41,0.564516129,12.29,29.49,3.135
ÇÑÈ­,7,0.254,0.342,0.376,0.718,0.332,101,21.23,3.54,3.77,1.37,113.6,106.7,24.7,0.540322581,8.68,20.84,2.215
»ï¼º,7,0.254,0.341,0.365,0.706,0.326,97,20.97,3.71,3.79,1.32,105.8,103.4,22.85,0.508196721,9.9,23.75,2.525
LG,7,0.268,0.338,0.374,0.713,0.328,98.3,22.6,4.33,3.88,1.49,89.6,100,16.88,0.483333333,9.54,22.91,2.435
Çö´ë,7,0.271,0.346,0.384,0.729,0.332,101.2,22.29,4.41,4.11,1.39,90.5,97.2,15.99,0.448,10.17,24.41,2.595
·Ôµ¥,7,0.27,0.34,0.377,0.717,0.328,98.4,22.4,4.12,3.84,1.41,92.9,99.6,17.56,0.447154472,10.62,25.49,2.71
KIA,7,0.257,0.33,0.364,0.694,0.322,94,17.21,4.49,4.44,1.47,87.5,88.6,12.75,0.408,8.47,20.32,2.16
»ï¼º,6,0.255,0.341,0.36,0.701,0.325,104,23.65,3.33,3.59,1.25,108.6,100.8,23.47,0.593495935,9.5,22.8,2.555
Çö´ë,6,0.27,0.35,0.384,0.734,0.334,110.2,26.31,3.44,3.29,1.3,105,109.7,24.19,0.56,10.24,24.59,2.755
ÇÑÈ­,6,0.253,0.331,0.38,0.711,0.329,106.5,24.41,3.37,3.52,1.29,111.2,106.5,24.32,0.540322581,8.59,20.61,2.31
KIA,6,0.255,0.325,0.356,0.681,0.314,95.7,19.03,3.36,3.59,1.29,108,101,23.05,0.520325203,9.17,22,2.465
µÎ»ê,6,0.258,0.328,0.347,0.676,0.314,96.1,18.97,3.36,3.3,1.25,106.6,108.3,23.56,0.512195122,10.34,24.81,2.78
SK,6,0.254,0.329,0.375,0.704,0.323,102.6,23.78,3.8,3.79,1.35,92.4,92.9,15.36,0.48,9.46,22.71,2.545
·Ôµ¥,6,0.25,0.327,0.357,0.684,0.314,96.1,18.22,3.88,3.71,1.38,90.4,94.5,14.8,0.406504065,10.02,24.05,2.695
LG,6,0.246,0.306,0.354,0.661,0.303,88,16.3,4.22,3.88,1.43,83.9,91.3,12.67,0.385245902,8.29,19.9,2.23
»ï¼º,5,0.268,0.357,0.391,0.749,0.341,105.5,26.13,3.83,3.93,1.25,111.3,108.3,26.24,0.606557377,10.87,26.09,2.64
